candidate_id,config_id,confidence_threshold,dwell_endpoints,minimum_contact_age_ms,terrain_accuracy,terrain_macro_f1,event_count,event_detected,event_recall,run_count,run_detected,run_recall,output_count,precision,f1,detected_within_20ms,recall_within_20ms,median_latency_ms,p95_latency_ms,normal_run_fp,normal_run_count,normal_run_fp_rate,normal_contact_fp,normal_contact_count,normal_contact_fp_rate,too_early,wrong_case_output,post_fall_output,invalid_output,duplicate_output,latch_carryover,cross_foot_output,per_speed_recall_within_20ms,per_hard_source_recall_within_20ms,grouped_variation_fold_count,independent_source_family_count,direct_gate_pass
LOCKED_T2_BASELINE,p0.65_d3_a5,0.65,3,5,0.5008432063187106,0.472446559139334,67,12,0.1791044776119403,59,12,0.2033898305084746,188,0.06382978723404255,0.09411764705882351,0,0.0,249.0,551.5999999999998,135,360,0.375,176,8243,0.02135144971490962,0,159,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.65_d3_a10,0.65,3,10,0.5008432063187106,0.472446559139334,67,13,0.19402985074626866,59,12,0.2033898305084746,199,0.06532663316582915,0.09774436090225565,0,0.0,269.0,759.3999999999997,134,360,0.37222222222222223,186,8243,0.022564600266893123,0,166,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.80_d1_a5,0.8,1,5,0.5008432063187106,0.472446559139334,67,20,0.29850746268656714,59,20,0.3389830508474576,279,0.07168458781362007,0.11560693641618495,1,0.014925373134328358,214.0,488.90000000000015,166,360,0.46111111111111114,259,8243,0.03142059929637268,3,235,48,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.041666666666666664, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.029411764705882353}",5,1,False
LOCKED_T2_BASELINE,p0.80_d1_a10,0.8,1,10,0.5008432063187106,0.472446559139334,67,23,0.34328358208955223,59,22,0.3728813559322034,288,0.0798611111111111,0.1295774647887324,1,0.014925373134328358,219.0,714.8,170,360,0.4722222222222222,265,8243,0.03214848962756278,3,236,53,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.041666666666666664, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.029411764705882353}",5,1,False
LOCKED_T2_BASELINE,p0.80_d2_a5,0.8,2,5,0.5008432063187106,0.472446559139334,67,14,0.208955223880597,59,14,0.23728813559322035,205,0.06829268292682927,0.10294117647058824,0,0.0,249.0,691.6999999999999,147,360,0.4083333333333333,191,8243,0.02317117554288487,0,175,46,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.80_d2_a10,0.8,2,10,0.5008432063187106,0.472446559139334,67,15,0.22388059701492538,59,15,0.2542372881355932,205,0.07317073170731707,0.11029411764705882,0,0.0,236.0,510.39999999999975,145,360,0.4027777777777778,190,8243,0.02304986048768652,0,174,44,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.80_d3_a5,0.8,3,5,0.5008432063187106,0.472446559139334,67,10,0.14925373134328357,59,10,0.1694915254237288,174,0.05747126436781609,0.08298755186721991,0,0.0,269.0,574.3999999999997,125,360,0.3472222222222222,164,8243,0.01989566905252942,0,147,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.80_d3_a10,0.8,3,10,0.5008432063187106,0.472446559139334,67,11,0.16417910447761194,59,10,0.1694915254237288,185,0.05945945945945946,0.0873015873015873,0,0.0,269.0,780.0,124,360,0.34444444444444444,174,8243,0.02110881960451292,0,153,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.90_d1_a5,0.9,1,5,0.5008432063187106,0.472446559139334,67,21,0.31343283582089554,59,20,0.3389830508474576,268,0.07835820895522388,0.1253731343283582,0,0.0,229.0,479.0,156,360,0.43333333333333335,247,8243,0.029964818633992477,1,224,49,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.90_d1_a10,0.9,1,10,0.5008432063187106,0.472446559139334,67,23,0.34328358208955223,59,21,0.3559322033898305,272,0.08455882352941177,0.13569321533923304,0,0.0,229.0,714.8,160,360,0.4444444444444444,249,8243,0.03020744874438918,1,222,53,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
