pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,initial_policy_observation_equal,command_timing_equal,gait_phase_equal,target_touchdown_equal,speed_equal,patch_geometry_equal,seed_equal,duration_equal,timestamps_equal,non_material_configuration_equal,only_material_profile_differs,parity_pass
pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,88a231693c5be5f9677414c63b7fe38b09260706e40d2555130c88407a91c28c,0.1,left,mid_late_stance,native_strong_ice,hard_normal,2,202608314,True,True,True,True,True,True,True,True,True,True,True,True
pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,5df7620b2112b51a10dbccd8f1fc368b9be8420c7fbb462a1a768c48ae0e8f3d,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,0,202608315,True,True,True,True,True,True,True,True,True,True,True,True
pair_016,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,e4f9ab1e25a4c615aa8a458edadbf73d93d5c2ecb8f5a690d895280a5a9434ba,0.1,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608316,True,True,True,True,True,True,True,True,True,True,True,True
pair_017,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,d18d87e01408d8c35ae13e9c03bb881639f83532ff5a4e7cdf8b6feb4c199152,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,2,202608317,True,True,True,True,True,True,True,True,True,True,True,True
pair_018,positive_0p10_right_early_loading_native_strong_ice_v0,control_0p10_right_early_loading_native_strong_ice_v0,54c77c1a65009439feead471b4e666e5207aa41d8aa2899a1016d181df773111,0.1,right,early_loading,native_strong_ice,near_slip_non_event,0,202608318,True,True,True,True,True,True,True,True,True,True,True,True
pair_019,positive_0p10_right_early_loading_native_strong_ice_v1,control_0p10_right_early_loading_native_strong_ice_v1,1fb9d413b00f2a9768d12fab7cf49963309b53027d491bdbdb0a1184f746de2d,0.1,right,early_loading,native_strong_ice,hard_normal,1,202608319,True,True,True,True,True,True,True,True,True,True,True,True
pair_020,positive_0p10_right_early_loading_native_strong_ice_v2,control_0p10_right_early_loading_native_strong_ice_v2,dd4d522b2d15880696a7ec3e94a8204efc3a0657acc2a5b2b515f666ad34cbd2,0.1,right,early_loading,native_strong_ice,near_slip_non_event,2,202608320,True,True,True,True,True,True,True,True,True,True,True,True
pair_021,positive_0p10_right_early_loading_moderate_ice_preregistered_v0,control_0p10_right_early_loading_moderate_ice_preregistered_v0,c71623f76ae0934bffd9024f1b33162ab0c0588edeb0b9439b84ab51d27573de,0.1,right,early_loading,moderate_ice_preregistered,hard_normal,0,202608321,True,True,True,True,True,True,True,True,True,True,True,True
pair_022,positive_0p10_right_early_loading_moderate_ice_preregistered_v1,control_0p10_right_early_loading_moderate_ice_preregistered_v1,0873400ed2b43832988a7de5d2b244f57dace52ef2970f3310a3cee9d176469a,0.1,right,early_loading,moderate_ice_preregistered,near_slip_non_event,1,202608322,True,True,True,True,True,True,True,True,True,True,True,True
pair_023,positive_0p10_right_early_loading_moderate_ice_preregistered_v2,control_0p10_right_early_loading_moderate_ice_preregistered_v2,fa933316b1551d890443c065641c6ffe84cde4078a99a27a711aa6fc9b7683b2,0.1,right,early_loading,moderate_ice_preregistered,hard_normal,2,202608323,True,True,True,True,True,True,True,True,True,True,True,True
pair_024,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,754baf16052a522384e74e049bce130a84b45186f52cb7e24dbe114a7023c11e,0.1,right,mid_loading_early_stance,native_strong_ice,hard_normal,0,202608324,True,True,True,True,True,True,True,True,True,True,True,True
