run_id,pair_id,role,target_foot,foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,physical_onset_sample,maximum_anchor_drift_m,pre_fall_valid_sample_count,air_event_counted,post_fall_event_counted
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,18,893,895,,0.0018923142924904823,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,19,896,899,,0.003833154682070017,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,20,900,903,,0.0038464125245809555,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,21,904,907,,0.0038143510464578867,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,22,908,909,,0.0,1,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,23,910,914,,0.00567972706630826,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,24,916,919,,0.0037771991919726133,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,25,920,922,,0.0018576998263597488,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,26,924,926,,0.0017784032970666885,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,27,927,929,,0.0017317811725661159,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,28,931,932,,0.0,1,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,29,933,934,,0.0,1,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,30,935,937,,0.0016416157595813274,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,31,939,942,,0.0031821790616959333,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,32,944,947,,0.0029378500767052174,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,33,948,949,,0.0,1,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,34,950,953,,0.002722745528444648,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,35,954,958,,0.0038590063340961933,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,36,960,977,,0.01672307588160038,17,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,37,978,990,,0.008605394512414932,12,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,38,991,1004,,0.0076821246184408665,13,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,39,1005,1007,,0.0005963379517197609,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,40,1008,1016,,0.004067812580615282,8,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,41,1017,1028,,0.005368235521018505,11,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,42,1029,1038,,0.0038182043936103582,9,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,43,1039,1050,,0.004436096176505089,11,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,44,1051,1058,,0.0027338513173162937,7,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,45,1059,1065,,0.0023900114465504885,6,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,46,1066,1069,,0.0009777747327461839,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,47,1070,1075,,0.002046191366389394,5,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,48,1076,1082,,0.002754675457254052,6,False,False
