outer_fold,inner_fold,reason,run_id,variation,outer_validation_member,endpoint,foot,terrain,speed_mps,phase,contact_age_ms,ipsilateral_force,contralateral_force,next_onset_distance_ms,previous_episode_distance_ms,normal_score,early_precursor_score,actionable_score,active_evidence_score,foot_score
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,False,1299,right,sand,0.1,3,114,282.31695556640625,174.07965087890625,-1,-1,3.185628976295025e-07,4.945949064609054e-10,0.9918690088990847,0.008130672043422828,0.47339308401066094
0,0,high_normal,ice_native_0p15_v04,4,False,279,left,ice,0.15,2,13,269.78070068359375,0.0,-1,36,6.133821799880908e-09,7.357882949464975e-21,0.9930117850613523,0.006988208804825996,0.9604164253559166
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,1919,left,sand,0.1,3,51,544.5199584960938,253.89617919921875,-1,-1,2.6481388160767304e-11,8.571192523908095e-17,0.9933479024505079,0.006652097523010571,0.0008622932226982143
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2029,left,sand,0.1,3,161,378.9212646484375,0.0,-1,-1,1.9510751443710627e-21,4.748766753614051e-26,0.9936004454049753,0.006399554595024656,0.9999999999996623
0,0,high_normal,ice_native_0p20_v01,1,False,2949,right,ice,0.2,3,45,247.18890380859375,139.32008361816406,-1,361,0.003890852693441597,8.44723655861005e-05,0.9941434847309687,0.0018811902100036274,0.1121185008548766
0,0,high_normal,sand_solref_interpolation_2of3_0p10_v04,4,False,1839,left,sand,0.1,3,37,90.23257446289062,248.37425231933594,-1,-1,2.9740142351791897e-13,5.178026677757997e-22,0.995487192288995,0.004512807710707863,2.8388538226165005e-05
0,0,high_normal,ice_native_0p20_v04,4,False,1979,right,ice,0.2,2,14,629.4617919921875,222.00567626953125,-1,340,5.356172221544358e-06,7.708834909125546e-06,0.9955837944041223,0.004403140588746955,0.2649435548075938
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2389,left,sand,0.1,3,50,86.48724365234375,411.22760009765625,-1,-1,4.2499170214870024e-09,0.004387346524408514,0.9956126491780337,4.764075381924515e-11,1.090617162563445e-08
0,0,high_normal,ice_native_0p10_v04,4,False,2939,right,ice,0.1,2,16,236.44113159179688,264.558837890625,-1,302,1.0008561068938892e-14,0.004330296904697753,0.9956694283364107,2.7475888140380826e-07,0.9868998519871769
0,0,high_normal,ice_native_0p10_v01,1,False,2469,right,ice,0.1,3,137,298.0858459472656,0.0,-1,319,1.5643841188713557e-10,7.616642702207887e-13,0.9957979502506739,0.004202049592126009,0.9142734571989726
0,0,high_normal,ice_native_0p20_v01,1,False,1429,right,ice,0.2,2,15,264.98321533203125,0.0,-1,15,0.003995571949641944,3.2742965362019593e-10,0.995997094749425,7.332973503553546e-06,0.0005331046818949993
0,0,high_normal,ice_native_0p10_v01,1,False,2559,right,ice,0.1,3,227,306.35247802734375,0.0,-1,409,6.837291070722743e-11,1.2518307446866753e-16,0.9966826555897462,0.0033173443418807427,0.7961328699023726
0,0,high_normal,ice_native_0p10_v01,1,False,2499,right,ice,0.1,3,167,325.7509460449219,0.0,-1,349,8.220032804926265e-10,2.109776075852736e-11,0.9967552025104452,0.003244796646453734,0.9740603379176525
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,False,1279,right,sand,0.1,3,73,95.95808410644531,416.0530700683594,-1,-1,0.0008431824267977578,0.0013847483579163475,0.9970035964685893,0.0007684727466966591,7.997227759159282e-08
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,4,False,2399,left,sand,0.1,3,46,76.4528579711914,381.65582275390625,-1,-1,2.5489912361558142e-09,1.5353940484463855e-12,0.9972884861176614,0.0027115113318120906,2.432404332564551e-08
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,False,1329,right,sand,0.1,3,123,266.9989318847656,180.91818237304688,-1,-1,1.098174919544744e-05,1.227171917196624e-05,0.9973458962009395,0.002630850330693043,0.6224607310374004
0,0,high_normal,ice_native_0p10_v01,1,False,2279,left,ice,0.1,4,288,262.6927490234375,54.262725830078125,-1,20,3.6083628004510346e-08,1.1115396125369013e-10,0.9973880681512539,0.002611895653964289,0.9999966554714361
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,False,1319,right,sand,0.1,3,134,312.6402893066406,170.08981323242188,-1,-1,4.1506293610084575e-09,2.3171905443232904e-10,0.9975406880095254,0.002459307608126228,0.8927650108951858
0,0,high_normal,ice_native_0p10_v01,1,False,2449,right,ice,0.1,3,117,286.864501953125,0.0,-1,299,4.996692235021794e-12,1.0906509654558315e-15,0.9977512313589064,0.0022487686360957385,0.999018328859892
0,0,high_normal,ice_native_0p10_v01,1,False,2509,right,ice,0.1,3,177,330.8345947265625,0.0,-1,359,5.912192396776347e-10,6.729748512227191e-12,0.9978689173051998,0.0021310820968511546,0.9819337945708041
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2039,left,sand,0.1,3,171,383.40234375,0.0,-1,-1,3.2513503197134356e-21,2.6195183169044156e-25,0.9981283260969278,0.0018716739030720454,0.9999999999255325
0,0,high_normal,ice_native_0p10_v01,1,False,2479,right,ice,0.1,3,147,293.0952453613281,0.0,-1,329,3.2952443434697655e-10,6.762670633011366e-14,0.9981322723786828,0.0018677272917251716,0.9374673386772209
0,0,high_normal,ice_native_0p15_v01,1,False,2209,left,ice,0.15,3,49,316.01837158203125,0.0,-1,597,9.826554224264727e-08,1.0888943879065232e-07,0.998223302238176,0.0017764906068428413,0.015833596904722948
0,0,high_normal,ice_native_0p15_v04,4,False,2979,left,ice,0.15,3,79,280.1401062011719,0.0,-1,927,3.6171727971790638e-09,3.144307091471062e-17,0.9982486039681826,0.0017513924146445286,0.9045388115288805
