family,seed,fold,run_id,variation,terrain,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,post_fall_positive_attribution
S4-A,202608221,1,sand_solref_interpolation_2of3_0p10_v04,4,sand,0.1,right,3,2050,2307,1,True,True,2249,-199,199,,False
S4-A,202608221,1,sand_solref_interpolation_2of3_0p10_v04,4,sand,0.1,right,5,2615,2768,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,4,sand,0.1,right,3,1856,1954,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,4,sand,0.1,right,4,2486,2751,1,True,True,2569,-83,83,,False
S4-A,202608221,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,sand,0.1,right,3,1855,1976,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,sand,0.1,right,4,2468,2781,1,True,True,2549,-81,81,,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,left,0,232,243,1,True,True,219,13,0,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,left,8,625,721,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,left,32,1289,1313,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,left,41,1795,2052,2,True,True,1749,46,0,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,3,351,369,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,19,1070,1075,1,True,True,1029,41,0,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,39,1487,1576,1,True,True,1419,68,0,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,40,1649,1666,1,True,True,1619,30,0,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,50,2014,2145,1,True,True,2039,-25,25,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,51,2244,2245,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,62,2542,2790,1,True,True,2489,53,0,True,False
S4-A,202608221,1,ice_native_0p15_v04,4,ice,0.15,right,63,2829,2838,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,0,227,259,1,True,True,219,8,0,True,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,5,632,634,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,6,664,666,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,7,692,720,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,8,770,822,3,True,False,,,,,False
