family,seed,fold,run_id,foot,contact_loss_resets,touchdown_resets,score_recovery_resets,previous_episode_latch_carryover,cross_foot_owner_mutations,simultaneous_crossings,simultaneous_selected_left,simultaneous_selected_right,median_simultaneous_score_difference
S4-C,202608222,1,ice_native_0p10_v04,right,55,64,4,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p10_v04,left,120,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p10_v04,right,107,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p10_v04,left,130,17,1,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p10_v04,right,97,5,2,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,left,99,13,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,right,56,6,2,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,left,100,8,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,right,53,5,2,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p15_v04,left,128,8,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p15_v04,right,121,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p15_v04,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p15_v04,right,117,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p15_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p15_v04,right,114,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p15_v04,left,102,45,4,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p15_v04,right,63,53,8,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p15_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p15_v04,right,108,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p15_v04,left,122,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p15_v04,right,98,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,right,97,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,left,122,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,right,94,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p20_v04,left,129,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p20_v04,right,118,8,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p20_v04,left,131,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p20_v04,right,117,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p20_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p20_v04,right,114,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p20_v04,left,113,61,4,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p20_v04,right,82,56,2,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p20_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p20_v04,right,108,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p20_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p20_v04,right,98,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,left,123,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,right,97,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,left,125,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,right,96,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,marble_native_0p10_v02,left,116,6,0,0,0,0,0,0,-1.0
S4-C,202608222,2,marble_native_0p10_v02,right,132,7,0,0,0,0,0,0,-1.0
S4-C,202608222,2,concrete_native_0p10_v02,left,116,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,concrete_native_0p10_v02,right,131,5,0,0,0,0,0,0,-1.0
