run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,right,none,1,630,947,630,,,[],0.006721798330545425,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,right,none,2,1240,1567,1240,,,[],0.005380322225391865,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,right,none,3,1832,2163,1832,,,[],0.008255401626229286,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,right,none,4,2427,2751,2427,,,[],0.0075586638413369656,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,right,none,5,2758,2760,2758,,,[],0.00022593843459617347,False,,,,0,0,2,2,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,0,39,89,39,,,[],0.0006854732637293637,True,,,,0,0,10,19,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,1,304,666,304,,,[],0.008024467155337334,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,2,667,680,667,,,[],0.0007692545768804848,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,3,945,1282,945,,,[],0.0021862578578293324,True,,,,0,0,10,12,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,4,1556,1882,1556,,,[],0.001566297491081059,True,,,,0,0,10,11,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,5,2152,2482,2152,,,[],0.0021101925522089005,True,,,,0,0,10,12,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,left,none,6,2750,3000,2750,,,[],0.002298566047102213,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,right,none,0,37,328,37,,,[],0.0030148839578032494,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,right,none,1,643,984,643,,,[],0.004972325637936592,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,right,none,2,1252,1591,1252,,,[],0.005133902654051781,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,right,none,3,1596,1601,1596,,,[],0.0004241636779624969,False,,,,0,0,5,5,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,right,none,4,1848,2186,1848,,,[],0.005603603087365627,True,,,,0,0,10,10,False
cal_control_0p15_G0,v6_cal_pair_04,control,left,right,none,5,2447,2785,2447,,,[],0.005779467523097992,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,0,39,89,39,,,[],0.0006855755927972496,True,,,,0,0,10,19,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,1,304,561,304,,,[],0.026097217574715614,True,,,,0,0,10,11,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,2,562,671,562,,,[],0.004777286201715469,True,,,,0,0,10,21,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,3,926,1144,926,,,[],0.0064818598330020905,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,4,1145,1281,1145,,,[],0.0019598675426095724,True,,,,0,0,10,11,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,5,1540,1861,1540,,,[],0.030820531770586967,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,6,2132,2387,2132,,,[],0.016366904601454735,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,7,2388,2465,2388,,,[],0.0030083979945629835,True,,,,0,0,10,15,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,left,none,8,2731,3000,2731,,,[],0.007886366918683052,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,right,none,0,37,328,37,,,[],0.003013653913512826,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,right,none,1,631,948,631,,,[],0.006823516916483641,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,right,none,2,960,961,960,,,[],0.0,False,,,,0,0,1,1,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,right,none,3,1240,1568,1240,,,[],0.005450790282338858,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,right,none,4,1833,2163,1833,,,[],0.007745340466499329,True,,,,0,0,10,10,False
cal_positive_0p15_G1,v6_cal_pair_05,positive,left,right,none,5,2429,2759,2429,,,[],0.007069005630910397,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,left,none,0,39,89,39,,,[],0.0006855755927972496,True,,,,0,0,10,19,False
