row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,39,1648,1639,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,40,1651,1644,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,41,1655,1648,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,42,1657,1648,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,43,1660,1651,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,44,1666,1657,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,45,1671,1666,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,46,1677,1671,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,47,1685,1677,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,48,1689,1685,-4
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,49,1692,1685,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,50,1696,1689,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,51,1702,1692,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,52,1704,1696,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,53,1707,1702,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,54,1712,1702,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,55,1717,1707,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,56,1721,1712,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,57,1723,1717,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,58,1726,1717,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,59,1729,1721,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,60,1731,1721,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,61,1733,1723,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,62,1736,1726,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,63,1739,1729,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,64,1747,1739,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,65,1754,1747,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,66,1761,1754,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,67,1766,1761,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,68,1770,1761,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,69,1776,1766,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,70,1783,1776,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,71,1787,1783,-4
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,72,1943,1943,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,73,2013,2013,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,74,2106,2106,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,75,2112,2106,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,76,2119,2112,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,77,2126,2119,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,78,2133,2126,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,79,2139,2133,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,80,2404,2404,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,81,2568,2568,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,82,2598,2598,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,83,2610,2610,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,84,2632,2632,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,85,2661,2661,0
