run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,1,0.1,right,0,192,False,,,False,False,False
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,1,0.1,right,6,750,True,689,-61,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,1,0.1,right,10,1344,True,1289,-55,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,1,0.1,right,17,1925,True,1869,-56,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,1,0.1,right,20,2517,True,2429,-88,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,2,0.1,right,8,1696,True,1639,-57,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,2,0.1,right,10,2277,True,2229,-48,True,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v0,0,0.1,right,1,477,True,429,-48,True,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v0,0,0.1,right,6,1062,True,999,-63,True,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v1,1,0.1,right,1,911,True,839,-72,True,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v1,1,0.1,right,8,2672,True,2609,-63,True,True,True
positive_0p15_left_early_loading_native_strong_ice_v0,0,0.15,left,0,139,False,,,False,False,False
positive_0p15_left_early_loading_native_strong_ice_v0,0,0.15,left,5,591,True,569,-22,True,True,True
positive_0p15_left_early_loading_native_strong_ice_v0,0,0.15,left,22,1064,True,1019,-45,True,True,True
positive_0p15_left_early_loading_native_strong_ice_v0,0,0.15,left,24,1169,False,,,False,False,False
positive_0p15_left_early_loading_native_strong_ice_v1,1,0.15,left,1,369,True,379,10,False,True,True
positive_0p15_left_early_loading_native_strong_ice_v1,1,0.15,left,4,454,False,,,False,False,False
positive_0p15_left_early_loading_native_strong_ice_v1,1,0.15,left,14,874,True,829,-45,True,True,True
positive_0p15_left_early_loading_native_strong_ice_v1,1,0.15,left,20,1063,True,1069,6,False,True,True
positive_0p15_left_early_loading_native_strong_ice_v1,1,0.15,left,34,1337,True,1309,-28,True,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,0,0.15,left,7,692,False,,,False,False,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,0,0.15,left,9,1237,True,1159,-78,True,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,0,0.15,left,14,2466,True,2439,-27,True,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,1,0.15,left,1,442,False,,,False,False,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,1,0.15,left,4,1054,True,1019,-35,True,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,1,0.15,left,6,1638,True,1589,-49,True,True,True
