run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_positive_v8_l02,v8_pair_02,positive,left,right,left,0,49,425,49,,,[],0.0032142698764801025,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,right,left,1,706,1024,706,,,[],0.009127350524067879,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,right,left,2,1309,1624,1309,,,[],0.008074556477367878,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,right,left,3,1913,2226,1913,,,[],0.00698518380522728,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,right,left,4,2514,2828,2514,,,[],0.007068605162203312,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,right,left,5,2840,2841,2840,,,[],0.0,False,,,,0,0,1,1,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,left,none,0,33,140,33,,,[],0.0017885133856907487,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,left,none,1,398,765,398,,,[],0.005345141980797052,True,,,,0,0,10,15,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,left,none,2,1026,1366,1026,,,[],0.002155739115551114,True,,,,0,0,10,15,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,left,none,3,1633,1966,1633,,,[],0.0017088776221498847,True,,,,0,0,10,15,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,left,none,4,2232,2566,2232,,,[],0.0021710225846618414,True,,,,0,0,10,16,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,left,none,5,2832,3000,2832,,,[],0.0020172065123915672,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,right,none,0,49,425,49,,,[],0.0032142698764801025,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,right,none,1,725,1064,725,,,[],0.005409501027315855,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,right,none,2,1328,1665,1328,,,[],0.00600837217643857,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,right,none,3,1929,2265,1929,,,[],0.005908395629376173,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,left,right,none,4,2528,2865,2528,,,[],0.006032818462699652,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,0,33,140,33,,,[],0.0017886043060570955,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
