candidate_id,threshold,persistence_ms,actionable_margin,hysteresis,hysteresis_effect,actionable_recall,normal_run_fp,normal_contact_episode_fp,too_early,invalid,post_fall,cross_foot,conditional_affected_foot_accuracy,verifier_acceptance_rate,diagnostic_only,selected_or_frozen,pareto_frontier,maximum_recall_with_normal_run_fp_zero,maximum_recall_with_contact_episode_fp_zero,minimum_normal_run_fp_at_recall_ge_0p80,minimum_contact_episode_fp_at_recall_ge_0p80,minimum_too_early_at_recall_ge_0p80
R1_seed_202608231,0.65,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7558386411889597,124,1098,82,119,119,57,1.0,0.018950795954994066,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.65,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6157112526539278,57,596,42,96,96,23,1.0,0.018950795954994066,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.65,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6157112526539278,57,596,42,96,96,23,1.0,0.018950795954994066,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.65,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5159235668789809,22,374,28,82,82,15,1.0,0.018950795954994066,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.65,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5159235668789809,22,374,28,82,82,15,1.0,0.018950795954994066,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.7,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7303609341825902,92,931,69,114,114,49,1.0,0.014706617487779608,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.7,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7303609341825902,92,931,69,114,114,49,1.0,0.014706617487779608,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.7,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5435244161358811,40,481,35,91,91,17,1.0,0.014706617487779608,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.7,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5435244161358811,40,481,35,91,91,17,1.0,0.014706617487779608,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.7,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.43312101910828027,22,296,21,79,79,13,1.0,0.014706617487779608,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.7,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.43312101910828027,22,296,21,79,79,13,1.0,0.014706617487779608,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.75,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7112526539278131,68,773,61,106,106,37,1.0,0.011058388329587414,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.75,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7112526539278131,68,773,61,106,106,37,1.0,0.011058388329587414,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.75,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.4416135881104034,25,372,25,86,86,14,1.0,0.011058388329587414,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.75,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.4416135881104034,25,372,25,86,86,14,1.0,0.011058388329587414,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.75,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.3354564755838641,22,232,19,75,75,9,1.0,0.011058388329587414,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.75,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.3354564755838641,22,232,19,75,75,9,1.0,0.011058388329587414,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.8,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6666666666666666,59,641,50,100,100,24,1.0,0.00799336614321799,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.8,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6666666666666666,59,641,50,100,100,24,1.0,0.00799336614321799,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.8,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.3524416135881104,22,293,19,81,81,11,1.0,0.00799336614321799,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.8,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.3524416135881104,22,293,19,81,81,11,1.0,0.00799336614321799,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.8,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.24628450106157113,19,185,15,72,72,8,1.0,0.00799336614321799,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.8,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.24628450106157113,19,185,15,72,72,8,1.0,0.00799336614321799,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.85,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5987261146496815,30,515,39,98,98,19,1.0,0.005445878883104739,True,False,True,0.09554140127388536,0.0,203,1995,111
