outer_fold,inner_fold,fit_fold,mining_fold,reason,identity,run_id,outer_validation_member,actionable_score,foot_score
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:909:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999999972988,5.34098669351505e-08
0,0,2,1,high_normal,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1:2489:1,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999999975486,0.04203500619411433
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:449:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999999976401,0.00010800269482913737
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:1419:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999999978648,0.9999999999999931
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04:1989:0,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,False,0.9999999999979639,1.0193693064404705e-05
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:619:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999980675,0.0006003994810412928
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:599:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999999981075,6.697729029851539e-05
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1949:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999984099,0.029232878393114947
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:939:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999999984199,7.524563544338196e-17
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04:2009:0,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,False,0.9999999999984468,0.05952802565165897
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:609:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.9999999999986056,3.1252703455629635e-05
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1919:1,positive_0p15_left_early_loading_v1_M1,False,0.9999999999986122,0.4793548830482303
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:639:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999986489,0.00037907859740590814
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:589:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999987341,2.1588635323887683e-06
0,0,2,1,high_normal,ice_native_0p20_v04:1339:1,ice_native_0p20_v04,False,0.999999999998902,0.0003130826258703948
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1609:0,positive_0p20_left_early_loading_v1_M1,False,0.9999999999989981,4.228048459180449e-07
0,0,2,1,high_normal,positive_0p10_right_early_loading_native_strong_ice_v1:749:0,positive_0p10_right_early_loading_native_strong_ice_v1,False,0.9999999999990019,7.88499440629617e-05
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:969:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999999990234,2.7247199665581608e-11
0,0,2,1,high_normal,ice_native_0p15_v01:1969:1,ice_native_0p15_v01,False,0.9999999999990927,0.18047057061430571
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1639:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999991034,0.9999661073803481
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:629:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999991198,0.003105253355500202
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:799:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999992251,4.439347414339084e-05
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:609:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999992331,0.0003472175780159649
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1799:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999993885,0.004727205133515758
0,0,2,1,high_normal,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1:1829:1,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999999995823,0.00012221120081517728
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1609:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999996025,0.00317287192483382
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:969:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999996201,1.108820337208157e-09
0,0,2,1,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p15_v01:1669:0,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,False,0.999999999999633,0.999999967203189
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1749:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999996636,0.9999838161925794
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:589:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999999996689,6.809811784780336e-06
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1559:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999997116,0.0003980727266159972
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1689:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999997176,0.9999999732517526
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:609:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999999997378,0.00017499681735207775
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:919:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999999997395,6.827847409387558e-10
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1869:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999997404,5.614496764113415e-07
0,0,2,1,high_normal,sand_solref_interpolation_2of3_0p15_v01:1669:0,sand_solref_interpolation_2of3_0p15_v01,False,0.9999999999997444,0.999999834051418
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p15_v01:1669:0,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,False,0.9999999999997797,0.999999999913096
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1939:1,positive_0p20_left_early_loading_v1_M1,False,0.999999999999793,0.9823978652958216
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1899:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999998062,0.6848189164090404
