pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass
v5_pair_044,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,0cef4faf22231f6fbe951477e82423652cd5b13dc2cb3459dbef9b08fffb835b,0.15,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,2,202608544,44,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_045,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,6bef42a500353a5d0474b2473cb5a2e8d18beee884f0f028334fc8a17686d4e8,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,0,202608545,37,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_046,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,cbc86ce490ba87ad3299d730d3521be6b69e71d6aad4697a4285b7b40bc5317e,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,1,202608546,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_047,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,67a9b928500124c3b8e3eee0b1f26a20fa72410bfa9cb6e01732c38d83220cd9,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,2,202608547,44,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_048,positive_0p15_left_mid_late_stance_native_strong_ice_v0,control_0p15_left_mid_late_stance_native_strong_ice_v0,b99076e6962a4302cda3900d4d98bb022b900d125ca6838f94889ebb1018c4b3,0.15,left,mid_late_stance,native_strong_ice,hard_normal,0,202608548,37,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_049,positive_0p15_left_mid_late_stance_native_strong_ice_v1,control_0p15_left_mid_late_stance_native_strong_ice_v1,9ed188ef4f4864fd9068113e7b4b13ff096d009f285c0458590f105be8e58058,0.15,left,mid_late_stance,native_strong_ice,near_slip_non_event,1,202608549,39,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_050,positive_0p15_left_mid_late_stance_native_strong_ice_v2,control_0p15_left_mid_late_stance_native_strong_ice_v2,2836e08cb5d11ab4ae7017ff83d6a6df0641fc44a4a433332d6b932c8fe00be1,0.15,left,mid_late_stance,native_strong_ice,hard_normal,2,202608550,44,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_051,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,bb170b53b6401d43a2bed75e18931433c76d9813244dcd6ad90882b718d28a71,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,0,202608551,37,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_052,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,a41a5f015c699f48563d408bfdb6c7d4ec84ec17022b7bb9c0623a7d2ac853bb,0.15,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608552,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_053,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,9935d0799108cf41b7032b63186e13f87b14b76497244075b378d9e909b63646,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,2,202608553,44,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_054,positive_0p15_right_early_loading_native_strong_ice_v0,control_0p15_right_early_loading_native_strong_ice_v0,6e736d625f2f7f9db8c604a89bc800f259f57d5f2f8c5f7add310d9ef550c54b,0.15,right,early_loading,native_strong_ice,near_slip_non_event,0,202608554,43,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_055,positive_0p15_right_early_loading_native_strong_ice_v1,control_0p15_right_early_loading_native_strong_ice_v1,edd2aa5dbbb9dfa95008d24e06a14ce8eb8982817afbf553d96666eadcda7f9b,0.15,right,early_loading,native_strong_ice,hard_normal,1,202608555,37,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_056,positive_0p15_right_early_loading_native_strong_ice_v2,control_0p15_right_early_loading_native_strong_ice_v2,5fbfc236d6636e7265120a03e8c190210289790a2ec92a89be93afad58636baa,0.15,right,early_loading,native_strong_ice,near_slip_non_event,2,202608556,34,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_057,positive_0p15_right_early_loading_moderate_ice_preregistered_v0,control_0p15_right_early_loading_moderate_ice_preregistered_v0,3ea0c68e310be8f92d2282f224cc03022eece3224d3ba033997961dcd21c2330,0.15,right,early_loading,moderate_ice_preregistered,hard_normal,0,202608557,43,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_058,positive_0p15_right_early_loading_moderate_ice_preregistered_v1,control_0p15_right_early_loading_moderate_ice_preregistered_v1,3b11061b0a8e912ad9933c32087e2b7aa88054692f723aef3e7c52d95fcb7992,0.15,right,early_loading,moderate_ice_preregistered,near_slip_non_event,1,202608558,37,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_059,positive_0p15_right_early_loading_moderate_ice_preregistered_v2,control_0p15_right_early_loading_moderate_ice_preregistered_v2,70cb99c42887062becc98be4f5f7b3fa5ebbb159f79836328f5cdf13105b40cd,0.15,right,early_loading,moderate_ice_preregistered,hard_normal,2,202608559,34,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_060,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,e9620d891ed941f909a96b5039dff53d854acdee8a311bc515b65924805ff61e,0.15,right,mid_loading_early_stance,native_strong_ice,hard_normal,0,202608560,43,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
