pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contralateral_imu,1690,1890,0,1206,3.1466297789734834,34.8751331679523,2.1269909289483464,1.6580282139364741
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,bilateral_asymmetry,1690,1890,0,2010,35.84622356977351,356.9300003051758,26.03959381373516,10.215366828928131
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contact_anchor_drift_label_only,1690,1890,0,136,0.016847474602186326,0.05082091526128352,0.015161208375779183,0.0012273185705399716
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,target_foot_fsr,891,1091,0,804,61.36627766134134,284.8955993652344,78.439902252374,62.79195926557133
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,target_foot_imu,891,1091,0,1206,4.594915808112649,87.42269849777222,2.063209252022932,1.1953717490110982
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contralateral_fsr,891,1091,0,804,21.766235944319202,114.36468505859375,10.633364600921745,26.594271227170655
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contralateral_imu,891,1091,0,1206,3.139867349309278,34.156352177262306,2.203399792124377,1.727907604241752
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,bilateral_asymmetry,891,1091,0,2010,36.123269442839906,318.0853080749512,27.038500743052595,14.15955369739981
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contact_anchor_drift_label_only,891,1091,0,148,0.015536712609015946,0.05074281746055931,0.014734476021424468,0.0013229976012135503
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,target_foot_fsr,72,272,0,804,39.850475655859384,175.3927001953125,71.18919953315597,73.25498314117503
