run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
control_0p20_right_mid_late_stance_native_strong_ice_v0,v5_pair_102,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_native_strong_ice_v1,v5_pair_103,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_native_strong_ice_v1,v5_pair_103,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_native_strong_ice_v2,v5_pair_104,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_native_strong_ice_v2,v5_pair_104,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_105,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_105,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_106,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_106,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_107,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_107,control,False,,,,3000,0,True
