sample,foot,runtime_episode_id,actionable_score,normal_score,early_score,active_score,persistence,owner_foot,simultaneous_candidate_count,reconciliation_rule,candidate_id,evaluation_scope,outer_fold,run_id,speed_mps,physical_episode_id,physical_event_present,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,too_early_activation,cross_foot_ownership_violation
2203,0,30,0.9999998807907104,1.1333606460119787e-29,4.63085837607232e-21,1.4248425372898055e-07,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v00,0.2,29,False,False,False,False,False,False,False
1308,0,16,0.9981982111930847,2.8304695976391315e-26,0.0018018623813986778,1.193246057518138e-10,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p10_v03,0.1,12,True,False,False,False,False,False,False
152,0,0,0.9975388050079346,1.2367576962546423e-09,0.0019434974528849125,0.0005177390994504094,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v03,0.15,0,True,False,False,False,False,False,False
1323,0,17,0.9999994039535522,0.0,2.007328981853962e-12,6.139005108707352e-07,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v03,0.15,16,True,False,False,False,False,False,False
1515,1,40,0.9930799603462219,6.241194982836229e-15,0.0069199008867144585,1.0462583333037401e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v03,0.15,40,False,False,False,False,False,False,True
2529,0,35,0.9995220899581909,7.583034844257817e-27,0.00047796618309803307,1.0302823039154418e-09,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v03,0.15,29,True,False,False,False,False,True,False
2739,1,75,0.9999827146530151,2.50476773518268e-14,8.145095015121839e-11,1.7242749891011044e-05,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v03,0.15,75,True,False,False,False,False,True,False
1919,0,3,0.9999167919158936,2.1779960520422563e-37,3.542606458157389e-15,8.315174636663869e-05,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_2of3_0p15_v03,0.15,3,True,False,False,False,False,False,False
2784,1,11,1.0,0.0,9.626304999625962e-38,1.0307428534643175e-25,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_2of3_0p15_v03,0.15,11,False,False,False,True,True,False,False
1964,0,3,0.9999998807907104,0.0,2.232755274314878e-18,1.220067389340329e-07,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,3,False,False,False,True,True,False,False
2226,1,9,0.996359646320343,4.659336168922732e-20,0.0036359447985887527,4.38665028923424e-06,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,8,False,False,False,True,True,False,False
2611,0,6,0.9996163845062256,0.0,0.0,0.00038363010389730334,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,5,False,False,False,True,True,False,False
2623,1,12,1.0,0.0,1.6088383327109345e-17,5.7390145968838624e-08,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,11,False,False,False,True,True,False,False
1924,0,5,0.9999910593032837,1.622450223768055e-25,1.0947635886971873e-19,8.911096301744692e-06,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0.15,3,False,False,False,True,True,False,False
153,0,0,0.9989510774612427,5.660213409086623e-10,0.0008129299385473132,0.0002359550999244675,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v03,0.2,0,True,False,False,False,False,False,False
1331,0,18,0.9999997615814209,2.743506239604551e-34,2.778903933631227e-07,4.836385159023848e-08,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v03,0.2,13,True,False,False,False,False,True,False
1554,1,41,0.9999946355819702,7.798554418339196e-15,5.2628583944169804e-06,1.1908348085398757e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v03,0.2,41,False,False,False,False,False,False,False
1864,0,40,0.9975168704986572,1.7957115687750047e-06,5.471959593705833e-05,0.002426641760393977,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v03,0.2,32,False,False,False,False,False,False,True
2568,0,54,0.9989857077598572,5.53946683191426e-16,0.00010103353270096704,0.0009133405401371419,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v03,0.2,45,True,False,False,False,False,False,False
2848,1,82,0.9993618130683899,6.503315151715585e-17,5.865887636735678e-12,0.0006382561405189335,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v03,0.2,82,True,False,False,False,False,False,False
1502,1,72,0.9999996423721313,0.0,0.0,3.5046718949161004e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,positive_0p10_right_early_loading_native_strong_ice_v0,0.1,67,False,False,False,True,True,False,False
2044,1,59,0.992711067199707,0.0,0.0,0.007288884371519089,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,positive_0p15_left_early_loading_native_strong_ice_v0,0.15,59,False,False,False,True,True,False,False
1487,1,84,0.9999996423721313,0.0,0.0,4.03742404841978e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,positive_0p15_right_early_loading_native_strong_ice_v0,0.15,74,False,False,False,True,True,False,False
1831,1,85,0.9999969005584717,1.0961746552581881e-33,2.8696805881250358e-21,3.0977435017121024e-06,5,1,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,positive_0p15_right_early_loading_native_strong_ice_v0,0.15,75,False,False,False,True,True,False,False
