candidate_id,evaluation_scope,outer_fold,config_id,threshold,persistence_ms,actionable_margin,hysteresis,actionable_episode_count,actionable_episode_detected,actionable_episode_recall,affected_foot_accuracy,crossing_count,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,normal_run_fp,normal_contact_episode_fp,too_early_activation,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,latch_carryover,cross_foot_ownership_violation,worst_speed_recall,safety_total,selected
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.70_p5_m0.00_h0.05,0.7,5,0.0,0.05,288,88,0.3055555555555556,1.0,289,51.0,86.0,0.0,90.29999999999998,3,184,14,0,0,39,39,0,7,0.2222222222222222,286,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.70_p3_m0.10_h0.05,0.7,3,0.1,0.05,288,122,0.4236111111111111,1.0,572,55.0,85.19999999999997,0.0,71.74999999999994,50,419,25,0,0,45,45,0,16,0.3333333333333333,600,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.70_p3_m0.00_h0.05,0.7,3,0.0,0.05,288,122,0.4236111111111111,1.0,572,55.0,85.19999999999997,0.0,71.74999999999994,50,419,25,0,0,45,45,0,16,0.3333333333333333,600,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,353,31,0.08781869688385269,1.0,98,41.0,72.25,0.0,25.5,0,61,6,0,0,32,32,0,4,0.07258064516129033,135,True
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.99_p5_m0.00_h0.05,0.99,5,0.0,0.05,353,31,0.08781869688385269,1.0,98,41.0,72.25,0.0,25.5,0,61,6,0,0,32,32,0,4,0.07258064516129033,135,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.99_p3_m0.10_h0.05,0.99,3,0.1,0.05,353,43,0.12181303116147309,1.0,132,41.5,76.15,0.0,20.49999999999998,0,82,7,0,0,42,42,0,6,0.10483870967741936,179,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.99_p3_m0.00_h0.05,0.99,3,0.0,0.05,353,43,0.12181303116147309,1.0,132,41.5,76.15,0.0,20.49999999999998,0,82,7,0,0,42,42,0,6,0.10483870967741936,179,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.95_p5_m0.10_h0.05,0.95,5,0.1,0.05,353,50,0.141643059490085,1.0,151,33.0,74.1,0.0,2.749999999999986,0,93,8,0,0,39,39,0,11,0.11290322580645161,190,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.95_p5_m0.00_h0.05,0.95,5,0.0,0.05,353,50,0.141643059490085,1.0,151,33.0,74.1,0.0,2.749999999999986,0,93,8,0,0,39,39,0,11,0.11290322580645161,190,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.85_p5_m0.10_h0.05,0.85,5,0.1,0.05,353,70,0.19830028328611898,1.0,215,37.0,74.8,0.0,8.599999999999966,0,136,8,0,0,47,47,0,15,0.14516129032258066,253,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.85_p5_m0.00_h0.05,0.85,5,0.0,0.05,353,70,0.19830028328611898,1.0,215,37.0,74.8,0.0,8.599999999999966,0,136,8,0,0,47,47,0,15,0.14516129032258066,253,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.95_p3_m0.10_h0.05,0.95,3,0.1,0.05,353,62,0.17563739376770537,1.0,216,41.0,76.25,0.0,13.449999999999953,0,146,8,0,0,49,49,0,15,0.13709677419354838,267,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.95_p3_m0.00_h0.05,0.95,3,0.0,0.05,353,62,0.17563739376770537,1.0,216,41.0,76.25,0.0,13.449999999999953,0,146,8,0,0,49,49,0,15,0.13709677419354838,267,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.70_p5_m0.10_h0.05,0.7,5,0.1,0.05,353,98,0.2776203966005666,1.0,326,41.5,81.64999999999999,0.0,45.499999999999915,0,215,9,0,0,55,55,0,18,0.23387096774193547,352,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.70_p5_m0.00_h0.05,0.7,5,0.0,0.05,353,98,0.2776203966005666,1.0,326,41.5,81.64999999999999,0.0,45.499999999999915,0,215,9,0,0,55,55,0,18,0.23387096774193547,352,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.85_p3_m0.10_h0.05,0.85,3,0.1,0.05,353,94,0.26628895184135976,1.0,316,44.0,86.80000000000001,0.0,20.649999999999892,0,210,9,0,0,59,59,0,19,0.23387096774193547,356,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.85_p3_m0.00_h0.05,0.85,3,0.0,0.05,353,94,0.26628895184135976,1.0,316,44.0,86.80000000000001,0.0,20.649999999999892,0,210,9,0,0,59,59,0,19,0.23387096774193547,356,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.70_p3_m0.10_h0.05,0.7,3,0.1,0.05,353,121,0.34277620396600567,1.0,463,45.5,83.0,0.0,49.0,2,321,13,0,0,68,68,0,25,0.31451612903225806,497,False
R1_seed_202608232,INNER_TRAIN_CONFIG,2,t0.70_p3_m0.00_h0.05,0.7,3,0.0,0.05,353,121,0.34277620396600567,1.0,463,45.5,83.0,0.0,49.0,2,321,13,0,0,68,68,0,25,0.31451612903225806,497,False
R1_seed_202608233,INNER_TRAIN_CONFIG,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,301,19,0.06312292358803986,1.0,94,46.5,92.5,0.0,282.99999999999994,0,74,1,0,0,53,53,0,2,0.041666666666666664,183,True
R1_seed_202608233,INNER_TRAIN_CONFIG,0,t0.99_p5_m0.00_h0.05,0.99,5,0.0,0.05,301,19,0.06312292358803986,1.0,94,46.5,92.5,0.0,282.99999999999994,0,74,1,0,0,53,53,0,2,0.041666666666666664,183,False
R1_seed_202608233,INNER_TRAIN_CONFIG,0,t0.99_p3_m0.10_h0.05,0.99,3,0.1,0.05,301,30,0.09966777408637874,1.0,129,59.0,96.8,0.0,189.64999999999947,0,98,1,0,0,61,61,0,2,0.08163265306122448,223,False
